Distance(m),x(NI),x(CR),f(FCC_A1),f(BCC_A2)
1.4128256513026055e-06,0.7763707696220249,0.22362923037797508,0.9999999999999999,0.0
1.4228456913827657e-06,0.7762917903603539,0.2237082096396461,1.0000000000000002,0.0
1.4328657314629261e-06,0.7757012166969212,0.22429878330307884,1.0000000000000002,0.0
1.4428857715430863e-06,0.7746552720083308,0.22534472799166913,1.0000000000000002,0.0
1.4529058116232467e-06,0.7753070040341145,0.22469299596588557,1.0,0.0
1.462925851703407e-06,0.7739077351023435,0.22609226489765658,1.0,0.0
1.4729458917835674e-06,0.7736404481564596,0.22635955184354045,1.0,0.0
1.4829659318637278e-06,0.772444683252725,0.227555316747275,1.0,0.0
1.492985971943888e-06,0.7723456301715803,0.22765436982841963,1.0,0.0
1.5030060120240484e-06,0.7713991160014599,0.22860088399854,1.0,0.0
1.5130260521042086e-06,0.7708311887458523,0.22916881125414765,1.0,0.0
1.523046092184369e-06,0.7703341982247329,0.22966580177526702,1.0,0.0
1.5330661322645292e-06,0.7698141496248242,0.23018585037517583,1.0,0.0
1.5430861723446896e-06,0.7678032974375396,0.23219670256246042,1.0000000000000002,0.0
1.55310621242485e-06,0.7681316543714373,0.2318683456285627,1.0,0.0
1.5631262525050102e-06,0.7677129334367017,0.23228706656329828,1.0,0.0
1.5731462925851706e-06,0.7664692212643779,0.23353077873562209,1.0000000000000002,0.0
1.5831663326653308e-06,0.7656464856324889,0.23435351436751112,0.9999999999999998,0.0
1.5931863727454912e-06,0.7654512877545768,0.2345487122454232,0.9999999999999999,0.0
1.6032064128256514e-06,0.7645501610818006,0.23544983891819943,0.9999999999999999,0.0
1.6132264529058118e-06,0.7635463984720972,0.23645360152790287,1.0,0.0
1.6232464929859723e-06,0.7625463169546631,0.23745368304533684,1.0,0.0
1.6332665330661325e-06,0.7622593585842453,0.23774064141575466,1.0,0.0
1.6432865731462929e-06,0.7608766095899976,0.23912339041000238,1.0,0.0
1.653306613226453e-06,0.760012147394055,0.23998785260594502,1.0,0.0
1.6633266533066135e-06,0.7593729680888062,0.24062703191119386,1.0,0.0
1.6733466933867739e-06,0.7587153094946036,0.2412846905053964,1.0000000000000002,0.0
1.683366733466934e-06,0.7576171199613243,0.2423828800386757,0.9999999999999999,0.0
1.6933867735470945e-06,0.757210514696784,0.24278948530321598,1.0,0.0
1.7034068136272547e-06,0.7560018807708409,0.2439981192291592,1.0,0.0
1.7134268537074151e-06,0.7554079255163179,0.24459207448368217,1.0,0.0
1.7234468937875753e-06,0.7538308630360919,0.24616913696390813,1.0,0.0
1.7334669338677357e-06,0.7541020444220026,0.24589795557799748,1.0,0.0
1.7434869739478961e-06,0.7522582973205089,0.24774170267949117,1.0,0.0
1.7535070140280563e-06,0.7511132879396507,0.24888671206034935,1.0000000000000002,0.0
1.7635270541082167e-06,0.750883507967544,0.24911649203245595,0.9999999999999999,0.0
1.773547094188377e-06,0.7497776627134763,0.25022233728652366,0.9999999999999999,0.0
1.7835671342685374e-06,0.7493447398073175,0.25065526019268247,1.0000000000000004,0.0
