Distance(m),x(NI),x(CR),x(V),f(FCC_A1),f(BCC_A2)
1.0467706013363028e-06,0.5950474761785466,0.3974485445421333,0.007503979279320089,1.0,0.0
1.0690423162583519e-06,0.5952925582205038,0.39766100795848086,0.0070464338210153785,1.0,0.0
1.0913140311804009e-06,0.5951275112201457,0.39758194695963994,0.0072905418202143454,1.0,0.0
1.1135857461024499e-06,0.5950386226727702,0.39750555947036853,0.007455817856861291,1.0,0.0
1.135857461024499e-06,0.5950463547762319,0.39754552405942545,0.007408121164342619,1.0,0.0
1.158129175946548e-06,0.5952113092665201,0.3976660100292244,0.007122680704255562,1.0,0.0
1.180400890868597e-06,0.5950290506149857,0.3975302613633065,0.00744068802170781,1.0,0.0
1.202672605790646e-06,0.5949756214366667,0.39747745607144463,0.007546922491888646,1.0,0.0
1.224944320712695e-06,0.5952010399350758,0.39773387743501915,0.0070650826299050225,1.0,0.0
1.247216035634744e-06,0.5950526932420062,0.3976123556300844,0.007334951127909476,1.0,0.0
1.269487750556793e-06,0.5950933640478231,0.3976090209353508,0.007297615016826117,1.0,0.0
1.2917594654788418e-06,0.5951069019700965,0.3976690593812386,0.007224038648664808,1.0,0.0
1.3140311804008908e-06,0.595007602030388,0.39759566060290286,0.007396737366709027,1.0,0.0
1.3363028953229398e-06,0.5950022790266595,0.397640323167894,0.007357397805446517,1.0,0.0
1.3585746102449888e-06,0.5942925992540615,0.39719808594179173,0.008509314804146666,0.9999999999999999,0.0
1.3808463251670379e-06,0.5955139450190764,0.39803012344738253,0.006455931533541066,1.0,0.0
1.4031180400890869e-06,0.5950753815082829,0.3977019929477602,0.007222625543956902,1.0,0.0
1.4253897550111359e-06,0.5950816367581186,0.3977918207359887,0.007126542505892668,1.0,0.0
1.447661469933185e-06,0.5949818556345242,0.39776184817689153,0.007256296188584251,1.0,0.0
1.469933184855234e-06,0.5949217335193676,0.39776653768162934,0.00731172879900306,1.0,0.0
1.492204899777283e-06,0.5948753392238986,0.39779436406503466,0.007330296711066704,1.0,0.0
1.514476614699332e-06,0.5949008178336128,0.39777600220878295,0.007323179957604149,1.0,0.0
1.536748329621381e-06,0.5948691593099621,0.39783452438993006,0.0072963163001078316,1.0,0.0
1.55902004454343e-06,0.5948451012334792,0.39787431359657266,0.007280585169948171,1.0,0.0
1.5812917594654788e-06,0.5948058314888325,0.3978900201369102,0.0073041483742573654,1.0,0.0
1.6035634743875278e-06,0.5947491416156623,0.39790284608637305,0.007348012297964705,1.0,0.0
1.6258351893095768e-06,0.5947175279588769,0.3979180623541306,0.0073644096869925554,1.0,0.0
1.6481069042316258e-06,0.5947541172276418,0.3978905773657983,0.007355305406559857,1.0,0.0
1.6703786191536748e-06,0.5947442878463727,0.39789163281126066,0.007364079342366701,1.0,0.0
1.6926503340757238e-06,0.5946712562626731,0.3979094380885651,0.007419305648761742,1.0,0.0
1.7149220489977729e-06,0.5945016642660237,0.3979486230304826,0.00754971270349374,1.0,0.0
1.7371937639198219e-06,0.5942400211555527,0.3979368824548422,0.007823096389605056,1.0,0.0
1.7594654788418709e-06,0.5949073827858928,0.39794266814242585,0.007149949071681345,1.0,0.0
1.78173719376392e-06,0.5942470240256641,0.3979476004230866,0.007805375551249306,1.0,0.0
1.804008908685969e-06,0.5941841443579243,0.3979685434844481,0.00784731215762751,1.0,0.0
1.826280623608018e-06,0.5941610707881644,0.39796781533965375,0.007871113872181878,1.0,0.0
1.848552338530067e-06,0.5941461666676658,0.3979887475964874,0.007865085735846785,1.0,0.0
1.8708240534521158e-06,0.5941234727334275,0.397957097885064,0.007919429381508577,1.0,0.0
1.8930957683741648e-06,0.5946137895702368,0.39800029812788645,0.007385912301876796,0.9999999999999999,0.0
1.915367483296214e-06,0.5942026367093537,0.3980355586292673,0.007761804661378999,0.9999999999999999,0.0
1.937639198218263e-06,0.5939836536987917,0.39798204890960603,0.00803429739160234,1.0,0.0
1.959910913140312e-06,0.5941075496651002,0.39803625286554684,0.007856197469353007,0.9999999999999999,0.0
1.982182628062361e-06,0.5939996772715506,0.39802735664482947,0.007972966083620038,0.9999999999999999,0.0
2.0044543429844096e-06,0.5939713346089684,0.3980154021272371,0.008013263263794477,0.9999999999999999,0.0
2.0267260579064586e-06,0.5940439220776693,0.398027099009277,0.007928978913053643,1.0,0.0
2.0489977728285077e-06,0.5939186328278403,0.39801878575515537,0.00806258141700434,0.9999999999999999,0.0
2.0712694877505567e-06,0.5938877453351596,0.39812702193769345,0.00798523272714691,1.0,0.0
2.0935412026726057e-06,0.5934994666597201,0.39847375742411173,0.00802677591616816,1.0,0.0
2.1158129175946547e-06,0.5933116415237691,0.39862595111757554,0.008062407358655365,1.0,0.0
2.1380846325167037e-06,0.5932877136811576,0.3984418340086756,0.008270452310166779,1.0,0.0
