Distance(m),x(NI),x(CR),f(FCC_A1),f(BCC_A2)
1.3827655310621245e-06,0.7781323732895624,0.22186762671043753,1.0,0.0
1.3927855711422847e-06,0.7780769142476333,0.22192308575236677,0.9999999999999996,0.0
1.4028056112224451e-06,0.776786150884686,0.2232138491153139,0.9999999999999996,0.0
1.4128256513026055e-06,0.7765403743411788,0.2234596256588212,0.9999999999999999,0.0
1.4228456913827657e-06,0.7762055799212005,0.22379442007879946,1.0,0.0
1.4328657314629261e-06,0.7748706325014783,0.22512936749852178,1.0,0.0
1.4428857715430863e-06,0.7755690497180763,0.22443095028192372,1.0,0.0
1.4529058116232467e-06,0.7741331002037939,0.22586689979620617,1.0,0.0
1.462925851703407e-06,0.7745350657973807,0.2254649342026193,1.0,0.0
1.4729458917835674e-06,0.7729401164480987,0.22705988355190135,1.0,0.0
1.4829659318637278e-06,0.7729898036746289,0.22701019632537114,1.0000000000000002,0.0
1.492985971943888e-06,0.7721373721557724,0.2278626278442276,1.0,0.0
1.5030060120240484e-06,0.7710108238159072,0.22898917618409273,1.0,0.0
1.5130260521042086e-06,0.7706130576308696,0.22938694236913043,1.0,0.0
1.523046092184369e-06,0.7700906428938854,0.22990935710611463,1.0,0.0
1.5330661322645292e-06,0.7694693129374008,0.23053068706259913,1.0000000000000002,0.0
1.5430861723446896e-06,0.7680670125095219,0.23193298749047803,1.0,0.0
1.55310621242485e-06,0.7682472708307894,0.23175272916921066,1.0,0.0
1.5631262525050102e-06,0.7674183574826671,0.23258164251733296,1.0,0.0
1.5731462925851706e-06,0.7666956742343249,0.233304325765675,1.0,0.0
1.5831663326653308e-06,0.7660778553634695,0.2339221446365305,1.0,0.0
1.5931863727454912e-06,0.7652098242512222,0.23479017574877784,1.0,0.0
1.6032064128256514e-06,0.7646286166619696,0.23537138333803043,0.9999999999999998,0.0
1.6132264529058118e-06,0.7636517807167568,0.23634821928324323,0.9999999999999999,0.0
1.6232464929859723e-06,0.7628458596978606,0.23715414030213944,1.0000000000000002,0.0
1.6332665330661325e-06,0.7615546955440243,0.23844530445597567,1.0000000000000002,0.0
1.6432865731462929e-06,0.7616718395604344,0.23832816043956565,1.0,0.0
1.653306613226453e-06,0.7599664469136744,0.24003355308632557,1.0,0.0
1.6633266533066135e-06,0.7589321526672227,0.24106784733277734,1.0,0.0
1.6733466933867739e-06,0.7592486317070766,0.24075136829292343,1.0,0.0
1.683366733466934e-06,0.757749810801037,0.24225018919896305,1.0,0.0
1.6933867735470945e-06,0.7573375768490914,0.24266242315090858,1.0,0.0
1.7034068136272547e-06,0.755809156846993,0.24419084315300696,0.9999999999999999,0.0
1.7134268537074151e-06,0.7557428041725445,0.24425719582745548,1.0,0.0
1.7234468937875753e-06,0.7547798033244131,0.24522019667558698,1.0,0.0
1.7334669338677357e-06,0.7537366617110466,0.24626333828895342,1.0,0.0
1.7434869739478961e-06,0.7522864840621655,0.24771351593783456,1.0,0.0
1.7535070140280563e-06,0.7523457319617286,0.24765426803827134,0.9999999999999999,0.0
1.7635270541082167e-06,0.7500082431263779,0.24999175687362213,1.0,0.0
1.773547094188377e-06,0.7499958583887413,0.2500041416112587,1.0000000000000002,0.0
1.7835671342685374e-06,0.7484918787241566,0.2515081212758434,1.0000000000000002,0.0
1.7935871743486976e-06,0.7487377386880956,0.2512622613119044,1.0000000000000002,0.0
1.803607214428858e-06,0.7469144617738066,0.25308553822619345,1.0000000000000002,0.0
1.8136272545090184e-06,0.7457545780805084,0.2542454219194916,1.0,0.0
1.8236472945891786e-06,0.7450059253533716,0.2549940746466284,1.0000000000000002,0.0
1.833667334669339e-06,0.7438939838423779,0.2561060161576221,1.0000000000000002,0.0
1.8436873747494992e-06,0.7428630840103403,0.2571369159896597,1.0,0.0
1.8537074148296596e-06,0.7410237638963768,0.2589762361036232,1.0000000000000002,0.0
1.86372745490982e-06,0.7407876822805992,0.25921231771940084,1.0,0.0
1.8737474949899802e-06,0.739933168824949,0.260066831175051,1.0,0.0
1.8837675350701406e-06,0.7383699844805512,0.26163001551944876,1.0,0.0
1.8937875751503008e-06,0.7364748444627832,0.2635251555372168,1.0,0.0
1.9038076152304612e-06,0.7363538598857045,0.2636461401142955,1.0000000000000002,0.0
1.9138276553106216e-06,0.7351323034387709,0.26486769656122905,0.9999999999999998,0.0
1.923847695390782e-06,0.7341194642284224,0.26588053577157755,0.9999999999999998,0.0
1.933867735470942e-06,0.7323003925809812,0.2676996074190187,1.0,0.0
1.9438877755511025e-06,0.731260269302052,0.268739730697948,1.0,0.0
1.953907815631263e-06,0.7301983274651567,0.2698016725348433,1.0,0.0
1.9639278557114233e-06,0.7288272121849358,0.27117278781506415,1.0,0.0
1.9739478957915833e-06,0.7284963849343443,0.2715036150656557,1.0,0.0
1.9839679358717437e-06,0.7263503520717061,0.273649647928294,1.0,0.0
1.993987975951904e-06,0.7262408472343265,0.2737591527656735,1.0000000000000002,0.0
2.0040080160320645e-06,0.7236642406420413,0.2763357593579587,1.0,0.0
2.014028056112225e-06,0.7225109009511927,0.27748909904880725,1.0,0.0
2.024048096192385e-06,0.7216062413408966,0.2783937586591035,1.0,0.0
2.0340681362725453e-06,0.7197845085134988,0.2802154914865011,1.0,0.0
2.0440881763527057e-06,0.7187074215140452,0.2812925784859548,1.0000000000000002,0.0
2.054108216432866e-06,0.7178015391952028,0.28219846080479716,1.0,0.0
2.0641282565130265e-06,0.7162497148011514,0.2837502851988486,1.0,0.0
2.0741482965931865e-06,0.7148094506519347,0.28519054934806526,1.0,0.0
2.084168336673347e-06,0.7136229200290526,0.2863770799709474,1.0,0.0
2.0941883767535074e-06,0.7123873027388834,0.28761269726111655,1.0,0.0
2.1042084168336678e-06,0.7102471002101916,0.28975289978980845,1.0,0.0
2.1142284569138278e-06,0.7095895535854431,0.2904104464145569,1.0,0.0
2.124248496993988e-06,0.7076752518692193,0.29232474813078063,1.0,0.0
2.1342685370741486e-06,0.7064226689227859,0.2935773310772141,1.0,0.0
2.144288577154309e-06,0.7047695480772003,0.2952304519227997,1.0,0.0
2.1543086172344694e-06,0.7041719115035447,0.29582808849645525,1.0,0.0
2.1643286573146294e-06,0.702486502601704,0.29751349739829597,1.0,0.0
2.17434869739479e-06,0.7009139342512344,0.2990860657487656,0.9999999999999997,0.0
2.18436873747495e-06,0.699330328229747,0.300669671770253,1.0,0.0
2.1943887775551106e-06,0.6974371650946329,0.30256283490536706,1.0,0.0
2.204408817635271e-06,0.696538398074122,0.30346160192587796,0.9999999999999999,0.0
2.214428857715431e-06,0.6948317562059162,0.3051682437940838,1.0,0.0
2.2244488977955914e-06,0.6940196120448743,0.30598038795512567,1.0,0.0
2.234468937875752e-06,0.6913474908304024,0.30865250916959763,0.9999999999999999,0.0
2.2444889779559123e-06,0.6905699103321732,0.3094300896678268,1.0,0.0
2.2545090180360727e-06,0.6884276050547956,0.3115723949452044,1.0,0.0
2.2645290581162327e-06,0.6873453025818266,0.31265469741817337,1.0,0.0
2.274549098196393e-06,0.685598495797705,0.31440150420229496,0.9999999999999999,0.0
2.2845691382765535e-06,0.6841125725896566,0.31588742741034337,1.0,0.0
2.294589178356714e-06,0.6821413878653418,0.31785861213465816,1.0,0.0
2.304609218436874e-06,0.6810646928400326,0.31893530715996743,1.0,0.0
2.3146292585170343e-06,0.6788793781528015,0.3211206218471985,1.0,0.0
2.3246492985971947e-06,0.6777246900941013,0.3222753099058987,1.0,0.0
2.334669338677355e-06,0.6757390139431894,0.32426098605681064,1.0000000000000002,0.0
2.3446893787575155e-06,0.674616577373845,0.32538342262615505,1.0,0.0
