t0,tf,steps,phases,linearTimeSpacing,elements,time,xComp,Rcrit_beta,Gcrit_beta,Rad_beta,avgR_beta,avgAR_beta,betaFrac_beta,nucRate_beta,precipitateDensity_beta,dGs_beta,xEqAlpha_beta,xEqBeta_beta,PSDdata_beta,PSDsize_beta,PSD_beta,PSDbounds_beta,eqAspectRatio_beta
,,,,,,300050.8108073872,0.00016774499426862877,2.1421212582243177e-08,1.9221032720982939e-16,0.0,2.1567150328741297e-08,1.0,0.007333940950456288,0.0,1.6936301310974375e+20,9336539.759939618,0.00015592627648979669,0.25,,,,,
,,,,,,300465.6743197702,0.00016774200981532457,2.1426405854415808e-08,1.9230353589627605e-16,0.0,2.158879066116383e-08,1.0,0.007333952808674773,0.0,1.690998211407334e+20,9334276.795611704,0.00015592627648979669,0.25,,,,,
,,,,,,300881.1114407811,0.0001677389967295831,2.1431575632382913e-08,1.9239634535076207e-16,0.0,2.157745204141589e-08,1.0,0.007333964780659099,0.0,1.690998211407334e+20,9332025.158151885,0.00015592627648979669,0.25,,,,,
,,,,,,301297.1229635167,0.00016773600301304935,2.14367976327109e-08,1.9249011504807188e-16,0.0,2.1599149011826077e-08,1.0,0.007333976675682883,0.0,1.6883650596897522e+20,9329751.878379803,0.00015592627648979669,0.25,,,,,
,,,,,,301713.70968217,0.00016773298664828895,2.1441988679004848e-08,1.9258335155658155e-16,0.0,2.158778408744242e-08,1.0,0.007333988660695257,0.0,1.6883650596897522e+20,9327493.171193788,0.00015592627648979669,0.25,,,,,
,,,,,,302130.87239203247,0.0001677299909786964,2.1447221631043732e-08,1.9267736358432527e-16,0.0,2.1609537749227625e-08,1.0,0.007334000563478615,0.0,1.685730696309525e+20,9325217.336810783,0.00015592627648979669,0.25,,,,,
,,,,,,302548.611889495,0.00016772697260353234,2.1452421302418153e-08,1.9277080043453107e-16,0.0,2.1598146509119294e-08,1.0,0.0073340125564784085,0.0,1.6857306963095244e+20,9322957.076070845,0.00015592627648979669,0.25,,,,,
,,,,,,302966.9289720495,0.00016772397455109357,2.1457663026750893e-08,1.9286501589196734e-16,0.0,2.1619956943331786e-08,1.0,0.007334024468729027,0.0,1.6830951417426143e+20,9320679.64395264,0.00015592627648979669,0.25,,,,,
,,,,,,303385.8244382908,0.00016772095326173645,2.146287209175805e-08,1.9295866712958625e-16,0.0,2.1608539379557827e-08,1.0,0.007334036473307292,0.0,1.683095141742615e+20,9318417.503733536,0.00015592627648979669,0.25,,,,,
,,,,,,303805.2990879176,0.00016771795178598405,2.146812417849485e-08,1.9305311484830536e-16,0.0,2.1630395025552697e-08,1.0,0.007334048399159289,0.0,1.6804593367905213e+20,9316137.791888552,0.00015592627648979669,0.25,,,,,
,,,,,,304225.35372173454,0.00016771492651553285,2.1473344465037824e-08,1.9314701360712106e-16,0.0,2.1618950822348333e-08,1.0,0.0073340604195551735,0.0,1.680459336790521e+20,9313872.988246685,0.00015592627648979669,0.25,,,,,
,,,,,,304645.98914165335,0.0001677119205709513,2.14786087959264e-08,1.9324172772375613e-16,0.0,2.1640825683780028e-08,1.0,0.007334072363162724,0.0,1.677825278055535e+20,9311590.190988716,0.00015592627648979669,0.25,,,,,
,,,,,,305067.2061506953,0.00016770889045876114,2.1483842150516158e-08,1.9333590753739358e-16,0.0,2.1629353868470816e-08,1.0,0.007334084402795851,0.0,1.677825278055535e+20,9309321.935016505,0.00015592627648979669,0.25,,,,,
,,,,,,305489.0055529898,0.00016770587952153596,2.1489120255769797e-08,1.9343091592675076e-16,0.0,2.1651284305074286e-08,1.0,0.00733409636624024,0.0,1.6751900814038185e+20,9307035.402090624,0.00015592627648979669,0.25,,,,,
,,,,,,305911.3881537802,0.0001677028443394912,2.1494367627618874e-08,1.9352539423544526e-16,0.0,2.1639784850618905e-08,1.0,0.0073341084260169845,0.0,1.6751900814038185e+20,9304763.296373751,0.00015592627648979669,0.25,,,,,
,,,,,,306334.3547594225,0.00016769982835187667,2.149965993802771e-08,1.9362070502235252e-16,0.0,2.166177091650485e-08,1.0,0.007334120409527653,0.0,1.6725537673592468e+20,9302472.855697615,0.00015592627648979669,0.25,,,,,
,,,,,,306757.9061773877,0.00016769678809241219,2.1504921459434235e-08,1.9371548458101294e-16,0.0,2.165024379482144e-08,1.0,0.00733413248947807,0.0,1.672553767359247e+20,9300196.857612424,0.00015592627648979669,0.25,,,,,
,,,,,,307182.043216263,0.00016769376706097128,2.1510228023316235e-08,1.9381109901291638e-16,0.0,2.1672285537930215e-08,1.0,0.007334144493028937,0.0,1.669916356884234e+20,9297902.503099464,0.00015592627648979669,0.25,,,,,
,,,,,,307606.76668575394,0.0001676907217360081,2.151550371886898e-08,1.9390618064032446e-16,0.0,2.166073072067306e-08,1.0,0.007334156593105659,0.0,1.669916356884234e+20,9295622.616766036,0.00015592627648979669,0.25,,,,,
,,,,,,308032.0773966853,0.000167687695681425,2.1520824552814688e-08,1.9400209939527285e-16,0.0,2.1682828188629974e-08,1.0,0.007334168616614537,0.0,1.667277870930572e+20,9293324.356109507,0.00015592627648979669,0.25,,,,,
,,,,,,308457.9761610031,0.00016768464531844587,2.152611441742567e-08,1.9409748337687764e-16,0.0,2.167124564721674e-08,1.0,0.007334180736708362,0.0,1.667277870930572e+20,9291040.5984988,0.00015592627648979669,0.25,,,,,
,,,,,,308884.46379177587,0.00016768161425650304,2.153144950714026e-08,1.9419370657731775e-16,0.0,2.1693398888604195e-08,1.0,0.007334192780112539,0.0,1.6646383303479142e+20,9288738.452741336,0.00015592627648979669,0.25,,,,,
,,,,,,309311.54110319645,0.00016767855886084984,2.1536753554305564e-08,1.9428939353466418e-16,0.0,2.1681788594379682e-08,1.0,0.0073342049202022395,0.0,1.664638330347914e+20,9286450.832801996,0.00015592627648979669,0.25,,,,,
,,,,,,309739.2089105834,0.00016767552280053599,2.1542102927170352e-08,1.9438592205580848e-16,0.0,2.1703997658951445e-08,1.0,0.007334216983465997,0.0,1.6619977558672422e+20,9284144.805007813,0.00015592627648979669,0.25,,,,,
,,,,,,310167.4680303825,0.00016767246238463595,2.1547421175101244e-08,1.9448191269711391e-16,0.0,2.169235958305191e-08,1.0,0.007334229143502193,0.0,1.6619977558672422e+20,9281853.329684706,0.00015592627648979669,0.25,,,,,
,,,,,,310596.31928016833,0.00016766942133672412,2.1552784841149508e-08,1.9457874710289748e-16,0.0,2.1714624521066584e-08,1.0,0.007334241226582724,0.0,1.6593561681495202e+20,9279543.430433342,0.00015592627648979669,0.25,,,,,
,,,,,,311025.7634786462,0.00016766635590407823,2.155811730505151e-08,1.946750420837243e-16,0.0,2.1702958634485434e-08,1.0,0.0073342534065515014,0.0,1.6593561681495202e+20,9277248.107995411,0.00015592627648979669,0.25,,,,,
,,,,,,311455.80144565296,0.00016766330987084147,2.156349529575216e-08,1.9477218332672293e-16,0.0,2.172527949646826e-08,1.0,0.007334265509439771,0.0,1.656713587808351e+20,9274934.338665897,0.00015592627648979669,0.25,,,,,
,,,,,,311886.43400215934,0.0001676602394299189,2.1568842009889505e-08,1.9486878364865038e-16,0.0,2.1713585769992262e-08,1.0,0.007334277709307477,0.0,1.656713587808351e+20,9272635.16921912,0.00015592627648979669,0.25,,,,,
,,,,,,312317.66197027167,0.0001676571884321568,2.1574234346247458e-08,1.949662324944842e-16,0.0,2.1735962606648456e-08,1.0,0.0073342898319208386,0.0,1.6540700354076423e+20,9270317.535742328,0.00015592627648979669,0.25,,,,,
,,,,,,312749.4861732311,0.00016765411300985456,2.1579595307772573e-08,1.9506313849036027e-16,0.0,2.1724241010820175e-08,1.0,0.007334302051580598,0.0,1.6540700354076423e+20,9268014.535388248,0.00015592627648979669,0.25,,,,,
,,,,,,313181.90743541886,0.00016765105705574684,2.1585001976309198e-08,1.9516089508276252e-16,0.0,2.1746673873221897e-08,1.0,0.007334314193886549,0.0,1.651425531456893e+20,9265693.058529433,0.00015592627648979669,0.25,,,,,
,,,,,,313614.92658235546,0.0001676479766502096,2.15903772053207e-08,1.9525810750134842e-16,0.0,2.1734924378484875e-08,1.0,0.007334326433345732,0.0,1.651425531456893e+20,9263386.233518168,0.00015592627648979669,0.25,,,,,
,,,,,,314048.5444407028,0.0001676449157537258,2.1595798250464895e-08,1.9535617303241367e-16,0.0,2.175741331805488e-08,1.0,0.007334338595288763,0.0,1.6487800964032027e+20,9261060.909194538,0.00015592627648979669,0.25,,,,,
,,,,,,314482.76183826575,0.00016764183038904916,2.1601187757927688e-08,1.9545369245904232e-16,0.0,2.1745635894528974e-08,1.0,0.0073343508544516265,0.0,1.6487800964032024e+20,9258750.26973143,0.00015592627648979669,0.25,,,,,
,,,,,,314917.5796039937,0.0001676387645649821,2.160662316991348e-08,1.9555206714236837e-16,0.0,2.176818096315126e-08,1.0,0.007334363035972958,0.0,1.6461337506254796e+20,9256421.117147345,0.00015592627648979669,0.25,,,,,
,,,,,,315352.99856798217,0.00016763567424609818,2.161202696903795e-08,1.956498942043599e-16,0.0,2.1756375580814198e-08,1.0,0.0073343753148199025,0.0,1.6461337506254796e+20,9254106.672491126,0.00015592627648979669,0.25,,,,,
,,,,,,315789.0195614745,0.0001676326034971177,2.161747677375385e-08,1.9574857890003958e-16,0.0,2.1778976830958308e-08,1.0,0.007334387515908924,0.0,1.6434865144278945e+20,9251773.69558022,0.00015592627648979669,0.25,,,,,
,,,,,,316225.6434168633,0.0001676295082509926,2.1622894894188162e-08,1.9584671452404683e-16,0.0,2.1767143459471204e-08,1.0,0.007334399814332801,0.0,1.6434865144278945e+20,9249455.447983913,0.00015592627648979669,0.25,,,,,
,,,,,,316662.870967692,0.00016762643261458555,2.1628359080734114e-08,1.9594570942758578e-16,0.0,2.1789800944081368e-08,1.0,0.007334412034840561,0.0,1.6408384080351022e+20,9247118.666454274,0.00015592627648979669,0.25,,,,,
,,,,,,317100.70304865664,0.0001676233324404948,2.163379148809929e-08,1.9604415338176857e-16,0.0,2.1777939552993465e-08,1.0,0.007334424352844247,0.0,1.6408384080351022e+20,9244796.64557421,0.00015592627648979669,0.25,,,,,
,,,,,,317539.14049560734,0.00016762025190090058,2.1639270098304585e-08,1.9614345964510695e-16,0.0,2.1800653325849147e-08,1.0,0.0073344365928333655,0.0,1.6381894515890107e+20,9242456.05658862,0.00015592627648979669,0.25,,,,,
,,,,,,317978.18414554984,0.00016761714680015963,2.164471685964077e-08,1.9624221353678488e-16,0.0,2.1788763884425883e-08,1.0,0.00733444893041163,0.0,1.6381894515890107e+20,9240130.248742444,0.00015592627648979669,0.25,,,,,
